Zeruhn report   \xFD\x13\x02\x00\x01\xFD
Palborough Mines logs   \xFD\x13\x02\x00\x02\xFD
blue acidity tester   \xFD\x13\x02\x00\x03\xFD
red acidity tester    \xFD\x13\x02\x00\x04\xFD
letter to the consuls   \xFD\x13\x02\x00\x05\xFD
letter to the consuls   \xFD\x13\x02\x00\x06\xFD
letter to the consuls   \xFD\x13\x02\x00\x07\xFD
overdue book notification   \xFD\x13\x02\x00\x0A\xFD
letter from Domien    \xFD\x13\x02\x00\x0B\xFD
C. L. report    \xFD\x13\x02\x00\x0C\xFD
Kindred crest   \xFD\x13\x02\x00\x0D\xFD
Magicite: Optistone   \xFD\x13\x02\x00\x0E\xFD
Magicite: Aurastone   \xFD\x13\x02\x00\x0F\xFD
Magicite: Orastone    \xFD\x13\x02\x00\x10\xFD
food offering   \xFD\x13\x02\x00\x11\xFD
drink offering    \xFD\x13\x02\x00\x12\xFD
clock tower oil   \xFD\x13\x02\x00\x13\xFD
letter to Aldo    \xFD\x13\x02\x00\x16\xFD
bouquet for the pioneers    \xFD\x13\x02\x00\x17\xFD
old toolbox   \xFD\x13\x02\x00\x18\xFD
note from Hariga-Origa    \xFD\x13\x02\x00\x19\xFD
note from Ipupu   \xFD\x13\x02\x00\x1A\xFD
"Art For Everyone"    \xFD\x13\x02\x00\x1B\xFD
cracked Mana Orb    \xFD\x13\x02\x00\x1C\xFD
Kindred report    \xFD\x13\x02\x00\x1D\xFD
letter to the ambassador    \xFD\x13\x02\x00\x1E\xFD
sword offering    \xFD\x13\x02\x00\x1F\xFD
shield offering   \xFD\x13\x02\x00\x20\xFD
dull sword    \xFD\x13\x02\x00\x21\xFD
dark key    \xFD\x13\x02\x00\x22\xFD
holy candle   \xFD\x13\x02\x00\x32\xFD
"Creature Counter" magic doll   \xFD\x13\x02\x00\x26\xFD
off offering    \xFD\x13\x02\x00\x27\xFD
Windurst Waters scoop   \xFD\x13\x02\x00\x28\xFD
Windurst Walls scoop    \xFD\x13\x02\x00\x29\xFD
Port Windurst scoop   \xFD\x13\x02\x00\x2A\xFD
Windurst Woods scoop    \xFD\x13\x02\x00\x2B\xFD
Temple Knights' Davoi report    \xFD\x13\x02\x00\x2C\xFD
Ducal Guard's lantern   \xFD\x13\x02\x00\x30\xFD
Ducal Guard's lantern   \xFD\x13\x02\x00\x31\xFD
first dark Mana Orb   \xFD\x13\x02\x00\x25\xFD
second dark Mana Orb    \xFD\x13\x02\x00\x33\xFD
third dark Mana Orb   \xFD\x13\x02\x00\x34\xFD
fourth dark Mana Orb    \xFD\x13\x02\x00\x35\xFD
fifth dark Mana Orb   \xFD\x13\x02\x00\x36\xFD
sixth dark Mana Orb   \xFD\x13\x02\x00\x37\xFD
super soup pot    \xFD\x13\x02\x00\x39\xFD
Two of Swords   \xFD\x13\x02\x00\x3A\xFD
first glowing Mana Orb    \xFD\x13\x02\x00\x3B\xFD
second glowing Mana Orb   \xFD\x13\x02\x00\x3C\xFD
third glowing Mana Orb    \xFD\x13\x02\x00\x3D\xFD
fourth glowing Mana Orb   \xFD\x13\x02\x00\x3E\xFD
fifth glowing Mana Orb    \xFD\x13\x02\x00\x3F\xFD
sixth glowing Mana Orb    \xFD\x13\x02\x00\x40\xFD
rescue training certificate   \xFD\x13\x02\x00\x41\xFD
charm of light    \xFD\x13\x02\x00\x42\xFD
hideout key   \xFD\x13\x02\x00\x43\xFD
lapis coral   \xFD\x13\x02\x00\x44\xFD
message to Jeuno    \xFD\x13\x02\x00\x45\xFD
message to Jeuno    \xFD\x13\x02\x00\x46\xFD
message to Jeuno    \xFD\x13\x02\x00\x47\xFD
new Fei'Yin seal    \xFD\x13\x02\x00\x48\xFD
burnt seal    \xFD\x13\x02\x00\x49\xFD
shadow fragment   \xFD\x13\x02\x00\x4A\xFD
Ronfaure supplies   \xFD\x13\x02\x00\x4B\xFD
Zulkheim supplies   \xFD\x13\x02\x00\x4C\xFD
Norvallen supplies    \xFD\x13\x02\x00\x4D\xFD
Gustaberg supplies    \xFD\x13\x02\x00\x4E\xFD
Derfland supplies   \xFD\x13\x02\x00\x4F\xFD
Sarutabaruta supplies   \xFD\x13\x02\x00\x50\xFD
Kolshushu supplies    \xFD\x13\x02\x00\x51\xFD
Aragoneu supplies   \xFD\x13\x02\x00\x52\xFD
